Proteome_ID	corr	a_type	c_type	c_name	code	kingdom
UP000001400	0.5143314346675698	gc	spearman	Spearman	SGCode	Archaea
UP000002613	0.5630976743990134	gc	spearman	Spearman	SGCode	Archaea
UP000002376	0.6552963463912741	gc	spearman	Spearman	SGCode	Archaea
UP000001931	0.454135607499069	gc	spearman	Spearman	SGCode	Archaea
UP000012076	0.3255809509549672	gc	spearman	Spearman	SGCode	Archaea
UP000001024	0.6331991440129637	gc	spearman	Spearman	SGCode	Archaea
UP000002654	0.6598681813660968	gc	spearman	Spearman	SGCode	Archaea
UP000001488	0.5196652421381964	gc	spearman	Spearman	SGCode	Archaea
UP000012672	0.3996358541958115	gc	spearman	Spearman	SGCode	Archaea
UP000006794	0.6438667589542171	gc	spearman	Spearman	SGCode	Archaea
UP000002408	0.6499625389206474	gc	spearman	Spearman	SGCode	Archaea
UP000001941	0.7292076784842433	gc	spearman	Spearman	SGCode	Archaea
UP000058290	0.3067061770957329	gc	spearman	Spearman	SGCode	Archaea
UP000014070	0.5753876798909582	gc	spearman	Spearman	SGCode	Archaea
UP000009079	0.3678836036909795	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000002439	0.5640881923261686	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000001686	0.5518254055364692	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000000792	0.4046719640600774	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000002698	0.5272998319570706	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000001059	0.4169347508497767	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000001974	0.4414603244291754	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000000242	0.4782486847982733	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000005877	0.6376649130643645	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000007490	0.2693821059300161	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000009227	0.3504127789425758	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000000554	0.5395626187467699	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000001068	0.4751024220065276	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000000578	0.3433580301115809	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000007722	0.3310952433218815	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000002457	0.5763509791158679	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000000254	0.4414603244291754	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000001975	0.502774258377672	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000001746	0.502774258377672	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000000805	0.2820440961630843	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000006565	0.5640881923261686	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000001137	0.5886137659055671	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000000262	0.502774258377672	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000000590	0.3556208169012801	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000000346	0.6744532734334624	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000005223	0.502774258377672	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000001826	0.502774258377672	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000007807	0.512971540511845	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000006622	0.4414603244291754	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000000641	0.6008765526952665	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000011511	0.4561301472674225	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000002071	0.4414603244291754	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000000365	0.5272998319570706	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000001013	0.3678836036909795	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000000663	0.465985898008574	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000002487	0.5150370451673713	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000000391	0.3678836036909795	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000001169	0.5150370451673713	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000000674	0.5886137659055671	codon	kendall	Kendall's Tau	SGCode	Archaea
UP000006663	0.3852492549207439	codon	kendall	Kendall's Tau	SGCode	Archaea
