Prot_Tax_ID	Coefficient	Correlation	Comparison	Kingdom
UP000058290_1495144	0.2881762063437381	Kendall	code	Archaea
UP000002654_768679	0.4896450979856983	Kendall	freq	Archaea
UP000000674_349307	0.5007733956671915	Kendall	freq	Archaea
UP000001826_190192	0.4117470142152463	Kendall	freq	Archaea
UP000006681_572478	0.5969368849124157	Kendall	freq	Archaea
UP000000242_399549	0.5119016933486846	Kendall	freq	Archaea
UP000001018_330779	0.5452865863931641	Kendall	freq	Archaea
UP000000536_69014	0.3672338234892737	Kendall	freq	Archaea
UP000002439_178306	0.467388502622712	Kendall	freq	Archaea
UP000001975_362976	0.4340036095782326	Kendall	freq	Archaea
UP000011511_1227494	0.4027440296786561	Kendall	freq	Archaea
UP000002698_348780	0.4562602049412189	Kendall	freq	Archaea
UP000000254_399550	0.4562602049412189	Kendall	freq	Archaea
UP000001169_272569	0.4451319072597258	Kendall	freq	Archaea
UP000000262_453591	0.4006187165337532	Kendall	freq	Archaea
UP000001024_273075	0.467388502622712	Kendall	freq	Archaea
UP000000740_416348	0.4228753118967394	Kendall	freq	Archaea
UP000002457_521011	0.5452865863931641	Kendall	freq	Archaea
UP000000554_64091	0.4562602049412189	Kendall	freq	Archaea
UP000000346_666510	0.5786714794376435	Kendall	freq	Archaea
UP000006794_797210	0.4340036095782326	Kendall	freq	Archaea
UP000008243_309800	0.4228753118967394	Kendall	freq	Archaea
UP000005877_1110509	0.4451319072597258	Kendall	freq	Archaea
UP000002071_519442	0.38949041885226	Kendall	freq	Archaea
UP000000365_410358	0.4340036095782326	Kendall	freq	Archaea
UP000001879_547559	0.4006187165337532	Kendall	freq	Archaea
UP000000578_228908	0.311592335081808	Kendall	freq	Archaea
UP000001304_583356	0.5564148840746572	Kendall	freq	Archaea
UP000000792_436308	0.4562602049412189	Kendall	freq	Archaea
UP000006565_679926	0.5452865863931641	Kendall	freq	Archaea
UP000000391_644295	0.4006187165337532	Kendall	freq	Archaea
UP000001901_572546	0.4896450979856983	Kendall	freq	Archaea
UP000001400_439481	0.3783621211707669	Kendall	freq	Archaea
UP000006622_679901	0.4785168003042052	Kendall	freq	Archaea
UP000001059_547558	0.4785168003042052	Kendall	freq	Archaea
UP000002199_224325	0.467388502622712	Kendall	freq	Archaea
UP000007490_877455	0.3467924870705224	Kendall	freq	Archaea
UP000000590_267377	0.4340036095782326	Kendall	freq	Archaea
UP000001931_339860	0.3449772281262875	Kendall	freq	Archaea
UP000001068_765177	0.3794106119043646	Kendall	freq	Archaea
UP000005223_187420	0.4117470142152463	Kendall	freq	Archaea
UP000001488_593117	0.3672338234892737	Kendall	freq	Archaea
UP000002487_188937	0.5119016933486846	Kendall	freq	Archaea
UP000006663_469382	0.2819419372173004	Kendall	freq	Archaea
UP000000805_243232	0.4228753118967394	Kendall	freq	Archaea
UP000009079_604354	0.38949041885226	Kendall	freq	Archaea
UP000002315_523846	0.3227206327633011	Kendall	freq	Archaea
UP000000641_368408	0.5007733956671915	Kendall	freq	Archaea
UP000001137_397948	0.5675431817561504	Kendall	freq	Archaea
UP000007722_456320	0.38949041885226	Kendall	freq	Archaea
UP000001686_374847	0.467388502622712	Kendall	freq	Archaea
UP000002518_272557	0.5230299910301778	Kendall	freq	Archaea
UP000002376_633148	0.5341582887116709	Kendall	freq	Archaea
UP000009227_880724	0.3514675116774036	Kendall	freq	Archaea
UP000001941_323259	0.5675431817561504	Kendall	freq	Archaea
UP000007807_990316	0.4206452599612906	Kendall	freq	Archaea
UP000002593_415426	0.5007733956671915	Kendall	freq	Archaea
UP000000663_351160	0.4006187165337532	Kendall	freq	Archaea
UP000001013_186497	0.4340036095782326	Kendall	freq	Archaea
UP000002613_589924	0.4451319072597258	Kendall	freq	Archaea
UP000001746_485914	0.4451319072597258	Kendall	freq	Archaea
UP000014070_1295009	0.4503636634035511	Kendall	freq	Archaea
UP000002408_456442	0.4785168003042052	Kendall	freq	Archaea
UP000001974_273057	0.5007733956671915	Kendall	freq	Archaea
UP000012076_1054217	0.2097740285183628	Kendall	freq	Archaea
UP000012672_1236689	0.2899412596819122	Kendall	freq	Archaea
UP000001015_273063	0.3227206327633011	Kendall	freq	Archaea
UP000058290_1495144	0.2160346640767189	Kendall	freq	Archaea
UP000001227_452471	0.5942289850490104	Spearman	code	Bacteria
UP000001231_523791	0.628480789817251	Spearman	code	Bacteria
UP000002257_395965	0.7089327033426532	Spearman	code	Bacteria
UP000007719_515635	0.585466895457135	Spearman	code	Bacteria
UP000001235_395494	0.6550133505175528	Spearman	code	Bacteria
UP000000231_312153	0.671494684177367	Spearman	code	Bacteria
UP000001258_272558	0.5982117530453175	Spearman	code	Bacteria
UP000007721_316067	0.6802567737692425	Spearman	code	Bacteria
UP000002301_439375	0.6953912921552093	Spearman	code	Bacteria
UP000001259_390333	0.5687392698726453	Spearman	code	Bacteria
UP000007727_306263	0.464390748369401	Spearman	code	Bacteria
UP000007730_504832	0.6874257561625952	Spearman	code	Bacteria
UP000002318_573413	0.6626358442329272	Spearman	code	Bacteria
UP000001275_627192	0.6691050233795828	Spearman	code	Bacteria
UP000002350_637905	0.6611394873869687	Spearman	code	Bacteria
UP000000233_379731	0.7344224185190182	Spearman	code	Bacteria
UP000002357_1901	0.6953912921552093	Spearman	code	Bacteria
UP000000235_369723	0.7702673304857817	Spearman	code	Bacteria
UP000007742_511062	0.65127415464079	Spearman	code	Bacteria
UP000002361_272942	0.7304396505227113	Spearman	code	Bacteria
UP000002366_572547	0.6860906262720351	Spearman	code	Bacteria
UP000016160_1347342	0.4253596220055919	Spearman	code	Bacteria
UP000000238_349521	0.693001631357425	Spearman	code	Bacteria
UP000002382_521045	0.589449663453442	Spearman	code	Bacteria
UP000001303_871271	0.308355994211913	Spearman	code	Bacteria
UP000000239_290398	0.745574168908678	Spearman	code	Bacteria
UP000007753_452662	0.7113223641404375	Spearman	code	Bacteria
UP000002383_396588	0.6937981849566864	Spearman	code	Bacteria
UP000007794_291272	0.6738843449751513	Spearman	code	Bacteria
UP000007803_563040	0.3566008433698241	Spearman	code	Bacteria
UP000001306_281090	0.7654880088902132	Spearman	code	Bacteria
UP000000245_349163	0.7232706681293586	Spearman	code	Bacteria
UP000000246_288000	0.7001706137507777	Spearman	code	Bacteria
UP000002384_65393	0.7073395961441304	Spearman	code	Bacteria
UP000000247_412965	0.5886531098541805	Spearman	code	Bacteria
UP000001319_334413	0.380752620446953	Spearman	code	Bacteria
UP000000248_246195	0.693001631357425	Spearman	code	Bacteria
UP000000260_290339	0.706543042544869	Spearman	code	Bacteria
UP000002402_246197	0.728049989724927	Spearman	code	Bacteria
UP000005753_633697	0.2795903133407542	Spearman	code	Bacteria
UP000004073_1105031	0.6627325945854915	Spearman	code	Bacteria
UP000002407_360107	0.4699666235642308	Spearman	code	Bacteria
UP000000263_383372	0.7463707225079393	Spearman	code	Bacteria
UP000005766_91464	0.7554167850323593	Spearman	code	Bacteria
UP000007809_675635	0.7630983480924289	Spearman	code	Bacteria
UP000001349_394503	0.5743151450674753	Spearman	code	Bacteria
UP000002411_431943	0.476339052358322	Spearman	code	Bacteria
UP000002415_381764	0.5201495003176995	Spearman	code	Bacteria
UP000001362_243159	0.7447776153094167	Spearman	code	Bacteria
UP000000268_329726	0.7392017401145867	Spearman	code	Bacteria
UP000007841_1125630	0.6762740057729355	Spearman	code	Bacteria
UP000000269_350688	0.5169632859206538	Spearman	code	Bacteria
UP000002417_78245	0.7073395961441304	Spearman	code	Bacteria
UP000001364_565050	0.6691050233795828	Spearman	code	Bacteria
UP000000270_438753	0.7392017401145867	Spearman	code	Bacteria
UP000001366_123214	0.5360805723029276	Spearman	code	Bacteria
UP000002420_398767	0.66751191618106	Spearman	code	Bacteria
UP000000272_555079	0.7105258105411761	Spearman	code	Bacteria
UP000002427_374463	0.6850360953648109	Spearman	code	Bacteria
UP000001369_204536	0.4261561756048533	Spearman	code	Bacteria
UP000000276_681645	0.6348532186113423	Spearman	code	Bacteria
UP000007842_1003195	0.7973501528606695	Spearman	code	Bacteria
UP000001377_479437	0.6388359866076493	Spearman	code	Bacteria
UP000002429_266264	0.7049499353463462	Spearman	code	Bacteria
UP000001382_526225	0.7487603833057237	Spearman	code	Bacteria
UP000001383_458233	0.4882873563472432	Spearman	code	Bacteria
UP000002430_363253	0.6659188089825372	Spearman	code	Bacteria
UP000025229_42256	0.6506604976504043	Spearman	code	Bacteria
UP000000323_525904	0.8180605464414661	Spearman	code	Bacteria
UP000001397_862751	0.5738016279653728	Spearman	code	Bacteria
UP000002432_204669	0.7089327033426532	Spearman	code	Bacteria
UP000001399_648757	0.1927303103666725	Spearman	code	Bacteria
UP000000328_749927	0.6730877913758899	Spearman	code	Bacteria
UP000016587_1121448	0.5107829168877753	Spearman	code	Bacteria
UP000000329_757424	0.7447776153094167	Spearman	code	Bacteria
UP000001405_1453429	0.5041620911242091	Spearman	code	Bacteria
UP000001408_189518	0.5918393242512262	Spearman	code	Bacteria
UP000004184_591159	0.8100950104488519	Spearman	code	Bacteria
UP000000333_633147	0.588520676093426	Spearman	code	Bacteria
UP000002438_208964	0.7782328664783957	Spearman	code	Bacteria
UP000001409_196164	0.7368120793168025	Spearman	code	Bacteria
UP000000343_1198114	0.4676551564320537	Spearman	code	Bacteria
