Archaea	Bacteria	Eukaryotes	Viruses
	2.0	8.0	2.0
	3.0	13.0	4.0
	260.0	123.0	6.0
	2.0	28.0	6.0
	497.0	14.0	14.0
	226.0	4.0	8.0
	227.0	3.0	6.0
	564.0	4.0	84.0
	17.0	9.0	4.0
	2.0	54.0	4.0
	251.0	1.0	71.0
	531.0	21.0	11.0
	63.0	1.0	5.0
	151.0	49.0	149.0
	404.0	19.0	1.0
	110.0	1.0	8.0
	21.0	3.0	6.0
	102.0	3.0	3.0
	297.0	3.0	4.0
	4379.0	7.0	6.0
	1.0	3.0	4.0
	236.0	1.0	2.0
	273.0	1.0	3.0
	572.0	2.0	5.0
	7.0	2.0	10.0
	408.0	1.0	1.0
	570.0	30.0	2.0
	1.0	8.0	3.0
	440.0	2.0	1.0
	433.0	28.0	1.0
	247.0	1.0	67.0
	1.0	5.0	96.0
	3.0	1.0	3.0
	1.0	2.0	16.0
	2.0	6.0	1.0
	202.0	1.0	5.0
	1.0	25.0	5.0
	201.0	3.0	4.0
	6.0	3.0	3.0
	1.0	15.0	1.0
	251.0	2.0	7.0
	320.0	1169.0	166.0
	2.0	2.0	8.0
	12.0	4.0	1.0
	10.0	13.0	11.0
	1.0	5.0	21.0
	412.0	40.0	73.0
	32.0	5.0	70.0
	8.0	97.0	20.0
	1.0	1.0	10.0
	239.0	8.0	1.0
	1.0	10.0	2.0
	1.0	1.0	85.0
	2.0	2.0	5.0
	18.0	1.0	2.0
	312.0	93.0	2.0
	1.0	3.0	6.0
	1.0	5.0	10.0
	338.0	13.0	3.0
	13.0	1.0	7.0
	2.0	7.0	25.0
	6.0	2.0	114.0
	1.0	4.0	1.0
	208.0	6.0	1.0
	7.0	19.0	3.0
	21.0	4.0	72.0
	16.0	13.0	35.0
	6.0	22.0	1.0
	385.0	43.0	1.0
	148.0	2.0	3.0
	1.0	2.0	78.0
	467.0	19.0	1.0
	271.0	2.0	1.0
	1.0	21.0	3.0
	311.0	2.0	3.0
	2.0	3.0	1.0
	264.0	10.0	6.0
	1.0	3.0	5.0
	334.0	1.0	12.0
	288.0	2.0	1.0
	203.0	26.0	1.0
	179.0	6.0	1.0
	138.0	4.0	3.0
	320.0	2.0	3.0
	385.0	1.0	3.0
	3.0	1.0	5.0
	139.0	32.0	3.0
	344.0	1.0	9.0
	177.0	4.0	2.0
	2.0	16.0	1.0
	278.0	28.0	9.0
	2.0	2.0	4.0
	762.0	1.0	3.0
	759.0	2.0	6.0
	303.0	4.0	3.0
	7.0	14.0	3.0
	429.0	5.0	4.0
	369.0	2.0	6.0
	222.0	2.0	5.0
	1.0	8.0	98.0
	467.0	2.0	74.0
	258.0	7.0	1.0
	2.0	74.0	8.0
	3.0	5.0	1.0
	3.0	1.0	3.0
	272.0	29.0	4.0
	269.0	1.0	10.0
	589.0	19.0	1.0
	8.0	2.0	15.0
	818.0	1.0	43.0
	1.0	1.0	1.0
	204.0	28.0	4.0
	3.0	2.0	5.0
	247.0	1.0	12.0
	887.0	1.0	2.0
	2.0	1.0	1.0
	2.0	16.0	2.0
	1.0	1.0	8.0
	1.0	3.0	1.0
	1.0	1.0	3.0
	5.0	8.0	1.0
	239.0	2.0	5.0
	2.0	6.0	4.0
	787.0	1.0	1.0
	363.0	5.0	5.0
	1.0	4.0	1.0
	302.0	769.0	5.0
	475.0	100.0	3.0
	432.0	2.0	9.0
	668.0	1.0	1.0
	478.0	26.0	6.0
	686.0	2.0	6.0
	329.0	2.0	6.0
	769.0	1.0	5.0
	290.0	18.0	7.0
	621.0	17.0	7.0
	436.0	20.0	5.0
	253.0	34.0	2.0
	249.0	16.0	9.0
	324.0	6.0	6.0
	2.0	3.0	3.0
	156.0	2.0	5.0
	667.0	13.0	6.0
	246.0	6.0	6.0
	262.0	236.0	1.0
	559.0	14.0	9.0
	1.0	2.0	8.0
	2.0	12.0	3.0
	1024.0	30.0	5.0
	622.0	2.0	8.0
	408.0	8.0	6.0
	200.0	13.0	4.0
	75.0	1.0	5.0
	1.0	8.0	9.0
	6.0	1.0	4.0
	13.0	12.0	8.0
	2.0	1.0	6.0
	24.0	1.0	3.0
	2.0	1.0	3.0
	1.0	1.0	3.0
	2.0	7.0	3.0
	160.0	2.0	3.0
	642.0	2.0	2.0
	470.0	1.0	1.0
	390.0	10.0	2.0
	215.0	1.0	12.0
	317.0	11.0	1.0
	553.0	76.0	3.0
	318.0	1.0	3.0
	286.0	7.0	11.0
	193.0	1.0	12.0
	8.0	3.0	11.0
	411.0	1.0	3.0
	1.0	22.0	4.0
	4.0		1.0
	284.0		7.0
	391.0		2.0
	7.0		2.0
	541.0		5.0
	337.0		5.0
	212.0		3.0
	143.0		9.0
	169.0		909.0
	95.0		11.0
	1.0		7.0
	4.0		5.0
	10.0		4.0
	1.0		8.0
	9.0		4.0
	5.0		1.0
	3.0		3.0
	3.0		4.0
	6.0		1.0
	1.0		2.0
	1.0		4.0
	6.0		1.0
	5.0		144.0
	8.0		9.0
	15.0		4.0
	6.0		6.0
	1.0		9.0
	1.0		1.0
	6.0		2.0
	22.0		6.0
	6.0		3.0
	2.0		1.0
	2.0		4.0
	1661.0		7.0
	429.0		9.0
	615.0		3.0
	1.0		4.0
	2.0		5.0
	1825.0		7.0
	170.0		2.0
	1868.0		2.0
	512.0		2.0
	393.0		2.0
	362.0		3.0
	118.0		75.0
	698.0		269.0
	136.0		2.0
	264.0		1.0
	2.0		1.0
	658.0		24.0
	2.0		5.0
	8.0		9.0
	406.0		3.0
	269.0		20.0
	199.0		25.0
	243.0		6.0
	838.0		5.0
	847.0		2.0
	324.0		39.0
	226.0		6.0
	496.0		13.0
	323.0		8.0
	421.0		4.0
	512.0		3.0
	347.0		6.0
	297.0		2.0
	205.0		6.0
	2.0		3.0
	339.0		3.0
	327.0		3.0
	1.0		6.0
	334.0		3.0
	239.0		8.0
	115.0		9.0
	207.0		6.0
	6.0		2.0
	10.0		6.0
	1.0		3.0
	2.0		2.0
	2.0		6.0
	1.0		12.0
	1.0		6.0
	2.0		7.0
	1.0		8.0
	1.0		6.0
	1.0		8.0
	2.0		5.0
	3.0		6.0
	8.0		5.0
	1.0		6.0
	1.0		9.0
	1.0		8.0
	1.0		6.0
	1.0		6.0
	1.0		6.0
	1.0		8.0
	1.0		5.0
	1.0		1.0
	2.0		1.0
	1.0		1.0
	1.0		2.0
	1.0		1.0
	1.0		2.0
	2.0		2.0
	1.0		1.0
	1.0		6.0
	3.0		3.0
	1.0		2.0
	1.0		1.0
	4.0		1.0
	1.0		1.0
	1.0		2.0
	495.0		1.0
			2.0
			15.0
			5.0
			4.0
			1.0
			2.0
			2.0
			1.0
			6.0
			4.0
			2.0
			1.0
			1.0
			1.0
			3.0
			1.0
			2.0
			162.0
			1.0
			1.0
			12.0
			1.0
			1.0
			1.0
