Archaea	Bacteria	Eukaryotes	Viruses
	3691	19655	3
	5420	19789	72
	3710	19242	5
	1881	12368	8
	6614	12109	2
	1953	31989	7
	1870	11614	75
	2028	11735	48
	7577	20358	34
	611	6060	72
	2859	15324	56
	3344	14212	1
	2829	7993	6
	2840	23887	1
	3684	16388	57
	3528	24605	2
	3455	3746	77
	1999	13148	3
	1618	706	30
	2723	22958	2
	2753	21032	148
	4556	18790	196
	3442	14456	3
	2528	17050	65
	3271	11722	59
	2619	26820	61
	3029	10583	22
	6459	17895	12
	4397	5132	7
	7213	14094	11
	7672	5301	94
	5042	15439	99
	5251	36519	2
	3406	9650	67
	2494	14304	67
	1552	5447	227
	4865	14367	6
	3991	5713	12
	1067	5887	53
	894	21157	41
	5313	10657	57
	5431	16971	5
	3133	9181	261
	5426	6602	2
	3506	5595	3
	5488	8572	60
	3087	13735	156
	2452	6029	214
	2906	9251	65
	2305	5055	4
	3168	17519	50
	1724	12613	9
	4471	9587	12
	4737	16598	2
	4345	8561	309
	3969	12315	2
	2007	13385	2
	2974	5290	56
	2816	16663	168
	2157	5187	1
	2451	11592	2
	2196	13267	3
	4920	5257	69
	2044	15507	8
	6265	14792	209
	3997	27417	154
	2374	11914	2
	2066	7730	295
	10034	13815	6
	1028	8814	49
	3992	26970	63
	1930	29159	1
	3219	10028	2
	1924	24934	5
	4959	20174	158
	1906	12053	1
	3112	16626	7
	2284	6448	9
	5912	7743	110
	3083	16814	262
	4846	14578	70
	4355	14146	53
	2004	43652	5
	4633	13082	111
	2481	17050	69
	5029	10417	5
	3202	34345	48
	2187	8878	34
	580	10191	43
	3967	12938	59
	2304	22218	65
	7583	12446	2
	1566	10380	60
	2458	9306	6
	4252	6678	14
	4613	14445	8
	2322	4201	32
	4007	26426	467
	5002	4398	1
	3826	29571	3
	2826	36306	3
	3540	12773	6
	2609	4927	1
	2858	10209	71
	4675	11939	71
	2181	9156	82
	5790	8317	52
	8253	13783	2
	3553	15355	1
	2334	9830	40
	1760	5901	2
	8423	13222	6
	2958	9272	1
	3455	35649	1
	3211	7080	112
	8140	17610	1
	3682	29137	2
	4781	6045	82
	4320	12351	79
	4109	9647	65
	1354	10939	7
	3461	9252	4
	2474	11848	33
	4462	11378	1
	3303	14157	6
	1488	6698	1
	4273	5865	2
	2665	9545	4
	2247	47151	4
	3020	11611	102
	2361	9101	2
	3416	15634	4
	3103	10771	47
	3553	6244	212
	4066	9628	47
	2083	12077	69
	4041	3419	3
	3449	19786	6
	5627	31311	2
	3812	5361	7
