Archaea	Bacteria	Eukaryotes	Viruses
3112.0	4702.0	18207.0	6.0
3981.0	4386.0	3790.0	12.0
2316.0	5505.0	19570.0	1.0
2064.0	4177.0	9842.0	7.0
1410.0	3732.0	5777.0	5.0
4005.0	3780.0	11550.0	6.0
4885.0	1725.0	5779.0	74.0
3637.0	4795.0	10550.0	1.0
3330.0	2320.0	5523.0	72.0
2195.0	3779.0	7472.0	2.0
2859.0	1684.0	8851.0	6.0
2485.0	2878.0	5057.0	41.0
3117.0	3643.0	30420.0	2.0
3129.0	4159.0	5919.0	9.0
3634.0	3440.0	10628.0	47.0
1603.0	1184.0	5906.0	7.0
1162.0	3625.0	14080.0	1.0
3668.0	3984.0	9285.0	7.0
5207.0	3478.0	10535.0	4.0
1860.0	2573.0	8833.0	28.0
1705.0	5003.0	20898.0	88.0
3596.0	2059.0	9480.0	195.0
2878.0	2808.0	10077.0	58.0
3549.0	4086.0	19451.0	206.0
2119.0	2570.0	12143.0	7.0
3498.0	4971.0	105049.0	1.0
3299.0	2827.0	5540.0	23.0
2527.0	3850.0	8764.0	8.0
2042.0	4841.0	8727.0	1.0
2132.0	3949.0	13892.0	6.0
4155.0	2517.0	5973.0	86.0
3723.0	2443.0	5093.0	35.0
4124.0	4988.0	29035.0	79.0
3246.0	1649.0	19368.0	8.0
3189.0	5500.0	33730.0	3.0
2411.0	4092.0	13227.0	21.0
2832.0	5484.0	6226.0	3.0
1937.0	3644.0	9928.0	90.0
2889.0	3210.0	3203.0	4.0
1741.0	2257.0	11309.0	6.0
4052.0	6354.0	20734.0	9.0
2117.0	9204.0	21256.0	118.0
2290.0	8553.0	9690.0	2.0
2568.0	4594.0	14959.0	3.0
815.0	595.0	20822.0	12.0
4204.0	2187.0	39137.0	9.0
1835.0	4202.0	55844.0	36.0
4176.0	8248.0	13005.0	70.0
1924.0	610.0	9472.0	3.0
2860.0	4147.0	9857.0	3.0
4092.0	3744.0	8940.0	2.0
2510.0	3609.0	12788.0	10.0
4060.0	2717.0	810.0	56.0
1258.0	3110.0	15466.0	110.0
806.0	4732.0	38034.0	286.0
2287.0	3513.0	15121.0	2.0
4930.0	4005.0	9079.0	14.0
1715.0	3418.0	4270.0	7.0
2488.0	4016.0	27403.0	3.0
1898.0	2138.0	10180.0	6.0
4358.0	2034.0	29003.0	4.0
1630.0	6276.0	13200.0	3.0
4027.0	3027.0	10451.0	6.0
	2301.0	10052.0	56.0
	6363.0	14632.0	208.0
	4725.0	49965.0	8.0
	243.0	11279.0	6.0
	4439.0	7118.0	2.0
	2946.0	3256.0	73.0
	1739.0	8990.0	277.0
	4361.0	4432.0	3.0
	2966.0	10493.0	3.0
	4251.0	7760.0	34.0
	2779.0	31857.0	9.0
	3813.0	10603.0	5.0
	3832.0	12784.0	3.0
	1341.0	13124.0	6.0
	4347.0	9876.0	4.0
	3583.0	9228.0	5.0
	3415.0	15461.0	10.0
	4514.0	2499.0	54.0
	3353.0	5254.0	91.0
	1214.0	8900.0	59.0
	1199.0	8811.0	50.0
	1684.0	12848.0	41.0
	3701.0	8616.0	179.0
	2269.0	6968.0	120.0
	2232.0	15349.0	1.0
	4220.0	10959.0	7.0
	7804.0	8651.0	159.0
	5019.0	6602.0	2.0
	4390.0	33991.0	68.0
	4771.0	6930.0	40.0
	2831.0	11848.0	68.0
	3819.0	13202.0	207.0
	3675.0	7976.0	6.0
	5412.0	9977.0	58.0
	2638.0	10566.0	2.0
	3321.0	3213.0	6.0
	2002.0	15010.0	7.0
	3778.0	19141.0	3.0
	4354.0	23328.0	43.0
	2969.0	5650.0	1.0
	4573.0	11497.0	2.0
	2257.0	12707.0	72.0
	2047.0	13357.0	269.0
	1729.0	13822.0	2.0
	4359.0	6027.0	48.0
	2252.0	26032.0	3.0
	2938.0	12706.0	6.0
	3750.0	13606.0	2.0
	4118.0	15115.0	12.0
	1653.0	2041.0	137.0
	3459.0	7761.0	46.0
	2158.0	22263.0	26.0
	3092.0	8694.0	2.0
	1843.0	9813.0	50.0
	5562.0	11461.0	54.0
	3936.0	3200.0	5.0
	3705.0	2709.0	69.0
	3891.0	11497.0	3.0
	2309.0	8404.0	3.0
