	AM	YM	EFM	EN	AY	RM	CDSG	VM	PTN	BN	BAPP	CMUT	PN	CN	IM	SOM	SGCode	KN	MPCMMS	TrM	AFM	CM	MN	CDHN	TM
N_gc	5.326877154314382	5.326877154314382	-46.378353074747395	5.326877154314382	5.326877154314382	5.326877154314382	5.326877154314382	5.326877154314382	5.326877154314382	5.326877154314382	5.326877154314382	5.326877154314382	5.326877154314382	5.326877154314382	5.326877154314382	5.326877154314382	5.326877154314382	5.326877154314382	5.326877154314382	-46.378353074747395	-46.378353074747395	5.326877154314382	5.326877154314382	5.326877154314382	5.326877154314382
Q_code	-34.52766136863271	-43.20686532789919	-43.20686532789919	-43.20686532789919	-45.55451885786473	-38.73165078640249	-43.20686532789919	-47.98042750549583	-45.55451885786473	-38.73165078640249	-45.55451885786473	-40.93374048142456	-40.93374048142456	-177.463301572805	-38.73165078640249	-45.55451885786473	-45.55451885786473	-177.463301572805	-43.20686532789919	-43.20686532789919	-40.93374048142456	-43.20686532789919	-40.93374048142456	-114.81029799184878	-47.98042750549583
Q_gc	-32.64048420025535	-32.64048420025535	-32.64048420025535	-32.64048420025535	-32.64048420025535	-32.64048420025535	-32.64048420025535	-32.64048420025535	-32.64048420025535	-32.64048420025535	-32.64048420025535	-32.64048420025535	-32.64048420025535	-106.1636765201261	-32.64048420025535	-32.64048420025535	-32.64048420025535	-179.6868688399969	-32.64048420025535	-32.64048420025535	-32.64048420025535	-32.64048420025535	-32.64048420025535	-99.37825596639634	-32.64048420025535
Y_code	9.148316058284337	3.2869170943027797	3.2869170943027797	3.2869170943027797	1.701456718799558	6.309200935105714	3.2869170943027797	0.06314766411286739	1.701456718799558	6.309200935105714	1.701456718799558	-42.766931908410285	4.822045394393236	6.309200935105714	6.309200935105714	1.701456718799558	1.701456718799558	6.309200935105714	3.2869170943027797	3.2869170943027797	-42.766931908410285	3.2869170943027797	-90.35590921121353	3.2869170943027797	0.06314766411286739
Y_gc	0.6939425977659979	0.6939425977659979	0.6939425977659979	0.6939425977659979	0.6939425977659979	0.6939425977659979	0.6939425977659979	0.6939425977659979	0.6939425977659979	0.6939425977659979	0.6939425977659979	-53.541540576188765	0.6939425977659979	0.6939425977659979	0.6939425977659979	0.6939425977659979	0.6939425977659979	0.6939425977659979	0.6939425977659979	0.6939425977659979	-53.541540576188765	0.6939425977659979	-98.61211480446813	0.6939425977659979	0.6939425977659979
I_code	59.99845203068406	57.41770700040565	36.12656050060848	36.12656050060848	35.07945493504469	38.122605484964396	36.12656050060848	55.9982972337525	35.07945493504469	38.122605484964396	35.07945493504469	37.140424619646396	37.140424619646396	38.122605484964396	58.748403656642935	35.07945493504469	35.07945493504469	38.122605484964396	36.12656050060848	57.41770700040565	37.140424619646396	36.12656050060848	37.140424619646396	36.12656050060848	33.99744585062869
I_gc	56.27603312925351	56.27603312925351	32.39641760981211	32.39641760981211	32.39641760981211	44.33622536953282	32.39641760981211	56.27603312925351	32.39641760981211	32.39641760981211	32.39641760981211	32.39641760981211	32.39641760981211	32.39641760981211	56.27603312925351	32.39641760981211	32.39641760981211	32.39641760981211	32.39641760981211	56.27603312925351	32.39641760981211	32.39641760981211	32.39641760981211	32.39641760981211	32.39641760981211
A_code	20.358810413739242	15.2206691501096	15.2206691501096	15.2206691501096	13.830844054209768	17.870023239168585	15.2206691501096	12.39469145511325	-7.711444932237785	17.870023239168585	13.830844054209768	16.5663728143936	16.5663728143936	17.870023239168585	17.870023239168585	13.830844054209768	13.830844054209768	17.870023239168585	15.2206691501096	15.2206691501096	16.5663728143936	15.2206691501096	16.5663728143936	15.2206691501096	12.39469145511325
A_gc	15.58038103866587	15.58038103866587	15.58038103866587	15.58038103866587	15.58038103866587	15.58038103866587	15.58038103866587	15.58038103866587	-3.927021237628884	15.58038103866587	15.58038103866587	15.58038103866587	15.58038103866587	15.58038103866587	15.58038103866587	15.58038103866587	15.58038103866587	15.58038103866587	15.58038103866587	15.58038103866587	15.58038103866587	15.58038103866587	15.58038103866587	15.58038103866587	15.58038103866587
G_code	-23.21336872889718	12.558254450460153	12.558254450460153	12.558254450460153	11.124783211943114	15.290808998883179	-9.302181936924816	9.643529598808819	11.124783211943114	15.290808998883179	11.124783211943114	13.946218665532234	13.946218665532234	15.290808998883179	15.290808998883179	11.124783211943114	11.124783211943114	15.290808998883179	12.558254450460153	12.558254450460153	13.946218665532234	12.558254450460153	13.946218665532234	12.558254450460153	9.643529598808819
